Code,N°,English Name,Nom français,Alias,Age,Date,In langtags,Region,Lang,Notes,Default Font,Default Features,WSTech primary,NLCI,Microsoft,Other,Noto Sans,Noto Serif,WSTech secondary
Adlm,166,Adlam,adlam,Adlam,9,2016-12-05,y,,,,Noto Sans Adlam,,,,Ebrima,,Noto Sans Adlam,,
Afak,439,Afaka,afaka,,,2010-12-21,y,,,,,,,,,,,,
Aghb,239,Caucasian Albanian,aghbanien,Caucasian_Albanian,7,2014-11-15,,,,,Noto Sans Caucasian Albanian,,,,,,Noto Sans Caucasian Albanian,,
Ahom,338,"Ahom, Tai Ahom",âhom,Ahom,8,2015-07-07,y,,,,Noto Serif Ahom,,,,,,,Noto Serif Ahom,
Arab,,,,,1.1,,y,"CM, GN, SN, NG, NE",,,Harmattan,,Harmattan,,,,,,
Arab,,,,,1.1,,y,PK,,,Awami Nastaliq,,Awami Nastaliq,,,,,,
Arab,160,Arabic,arabe,Arabic,1.1,2004-05-01,y,,,,Scheherazade New,,Scheherazade New,,,,Noto Sans Arabic,,
Aran,161,Arabic (Nastaliq variant),arabe (variante nastalique),,1.1,2014-11-15,,,,,Awami Nastaliq,,Awami Nastaliq,,,,,Noto Nastaliq Urdu,
Armi,124,Imperial Aramaic,araméen impérial,Imperial_Aramaic,5.2,2009-06-01,y,,,,Noto Sans Imperial Aramaic,,,,,,Noto Sans Imperial Aramaic,,
Armn,230,Armenian,arménien,Armenian,1.1,2004-05-01,y,,,,Noto Sans Armenian,,,,,,Noto Sans Armenian,Noto Serif Armenian,
Avst,134,Avestan,avestique,Avestan,5.2,2009-06-01,y,,,,Noto Sans Avestan,,,,,,Noto Sans Avestan,,
Bali,360,Balinese,balinais,Balinese,5,2006-10-10,y,,,,Noto Sans Balinese,,,,,,Noto Sans Balinese,,
Bamu,435,Bamum,bamoum,Bamum,5.2,2009-06-01,y,,,,Noto Sans Bamum,,,,,,Noto Sans Bamum,,
Bass,259,Bassa Vah,bassa,Bassa_Vah,7,2014-11-15,y,,,,Noto Sans Bassa Vah,,,,,,Noto Sans Bassa Vah,,
Batk,365,Batak,batik,Batak,6,2010-07-23,y,,,,Noto Sans Batak,,,,,,Noto Sans Batak,,
Beng,325,Bengali (Bangla),bengalî (bangla),Bengali,1.1,2016-12-05,y,,,,Noto Serif Bengali,,,,,,Noto Sans Bengali,Noto Serif Bengali,
Bhks,334,Bhaiksuki,bhaïksukî,Bhaiksuki,9,2016-12-05,,,,,Noto Sans Bhaiksuki,,,,,,Noto Sans Bhaiksuki,,
Blis,550,Blissymbols,symboles Bliss,,,2004-05-01,y,,,,,,,,,,,,
Bopo,285,Bopomofo,bopomofo,Bopomofo,1.1,2004-05-01,y,,,,,,,,,,,,
Brah,300,Brahmi,brahma,Brahmi,6,2010-07-23,y,,,,Noto Sans Brahmi,,,,,,Noto Sans Brahmi,,
Brai,570,Braille,braille,Braille,3,2004-05-01,y,,,,,,,,,,,,
Bugi,367,Buginese,bouguis,Buginese,4.1,2006-06-21,y,,,,Noto Sans Buginese,,,,,,Noto Sans Buginese,,
Buhd,372,Buhid,bouhide,Buhid,3.2,2004-05-01,y,,,,Noto Sans Buhid,,,,,,Noto Sans Buhid,,
Cakm,349,Chakma,chakma,Chakma,6.1,2012-02-06,y,,,,Noto Sans Chakma,,,,,,Noto Sans Chakma,,
Cans,440,Unified Canadian Aboriginal Syllabics,syllabaire autochtone canadien unifié,Canadian_Aboriginal,3,2004-05-29,y,,,,Noto Sans Canadian Aboriginal,,,,,,Noto Sans Canadian Aboriginal,,
Cari,201,Carian,carien,Carian,5.1,2007-07-02,y,,,,Noto Sans Carian,,,,,,Noto Sans Carian,,
Cham,358,Cham,"cham (čam, tcham)",Cham,5.1,2009-11-11,y,,,,Noto Sans Cham,,,,,,Noto Sans Cham,,
Cher,445,Cherokee,tchérokî,Cherokee,3,2004-05-01,y,,,,Noto Sans Cherokee,,,,,,Noto Sans Cherokee,,
Chrs,109,Chorasmian,chorasmien,Chorasmian,13,2019-08-19,y,,,,Noto Sans Chorasmian,,,,,,Noto Sans Chorasmian,,
Cirt,291,Cirth,cirth,,,2004-05-01,,,,,,,,,,,,,
Copt,204,Coptic,copte,Coptic,4.1,2006-06-21,y,,,,Noto Sans Coptic,,,,,,Noto Sans Coptic,,Sophia Nubian
Cpmn,402,Cypro-Minoan,syllabaire chypro-minoen,,,2017-07-26,,,,,Noto Sans Cypro Minoan,,,,,,Noto Sans Cypro Minoan,,
Cprt,403,Cypriot syllabary,syllabaire chypriote,Cypriot,4,2017-07-26,y,,,,Noto Sans Cypriot,,,,,,Noto Sans Cypriot,,
Cyrl,220,Cyrillic,cyrillique,Cyrillic,1.1,2004-05-01,y,,,,Charis SIL,,Charis SIL,,,,Noto Sans,Noto Serif,
Cyrs,221,Cyrillic (Old Church Slavonic variant),cyrillique (variante slavonne),,1.1,2004-05-01,y,,,,,,,,,,,,
Deva,,,,,1.1,,,NP,,,Annapurna SIL,ss01=1 ss08=1 ss09=1 ss10=1,Annapurna SIL Nepal,,,,Noto Sans Devanagari,Noto Serif Devanagari,
Deva,315,Devanagari (Nagari),dévanâgarî,Devanagari,1.1,2004-05-01,y,,,,Annapurna SIL,,Annapurna SIL,,,,Noto Sans Devanagari,Noto Serif Devanagari,
Diak,342,Dives Akuru,dives akuru,Dives_Akuru,13,2019-08-19,y,,,,,,,,,,,,
Dogr,328,Dogra,dogra,Dogra,11,2016-12-05,,,,,Noto Serif Dogra,,,,,,,Noto Serif Dogra,
Dsrt,250,Deseret (Mormon),déseret (mormon),Deseret,3.1,2004-05-01,y,,,,Noto Sans Deseret,,,,,,Noto Sans Deseret,,
Dupl,755,"Duployan shorthand, Duployan stenography",sténographie Duployé,Duployan,7,2014-11-15,,,,,Noto Sans Duployan,,,,,,Noto Sans Duployan,,
Egyd,70,Egyptian demotic,démotique égyptien,,,2004-05-01,,,,,,,,,,,,,
Egyh,60,Egyptian hieratic,hiératique égyptien,,5.2,2004-05-01,,,,,,,,,,,,,
Egyp,50,Egyptian hieroglyphs,hiéroglyphes égyptiens,Egyptian_Hieroglyphs,5.2,2009-06-01,y,,,,Noto Sans Egyptian Hieroglyphs,,,,,,Noto Sans Egyptian Hieroglyphs,,
Elba,226,Elbasan,elbasan,Elbasan,7,2014-11-15,y,,,,Noto Sans Elbasan,,,,,,Noto Sans Elbasan,,
Elym,128,Elymaic,élymaïque,Elymaic,12,2018-08-26,y,,,,Noto Sans Elymaic,,,,,,Noto Sans Elymaic,,
Ethi,430,Ethiopic (Geʻez),"éthiopien (geʻez, guèze)",Ethiopic,3,2004-10-25,y,,,,Abyssinica SIL,,Abyssinica SIL,,,,Noto Sans Ethiopic,Noto Serif Ethiopic,
Geok,241,Khutsuri (Asomtavruli and Nuskhuri),khoutsouri (assomtavrouli et nouskhouri),Georgian,1.1,2012-10-16,y,,,,,,,,,,,,
Geor,240,Georgian (Mkhedruli and Mtavruli),géorgien (mkhédrouli et mtavrouli),Georgian,1.1,2016-12-05,y,,,,Noto Sans Georgian,,,,,,Noto Sans Georgian,Noto Serif Georgian,
Glag,225,Glagolitic,glagolitique,Glagolitic,4.1,2006-06-21,y,,,,Noto Sans Glagolitic,,,,,,Noto Sans Glagolitic,,
Gong,312,Gunjala Gondi,gunjala gondî,Gunjala_Gondi,11,2016-12-05,,,,,Narnoor,,Narnoor,,,,,,
Gonm,313,Masaram Gondi,masaram gondî,Masaram_Gondi,10,2017-07-26,,,,,Noto Sans Masaram Gondi,,,,,,Noto Sans Masaram Gondi,,
Goth,206,Gothic,gotique,Gothic,3.1,2004-05-01,y,,,,Noto Sans Gothic,,,,,,Noto Sans Gothic,,
Gran,343,Grantha,grantha,Grantha,7,2014-11-15,y,,,,Noto Sans Grantha,,,,,,Noto Sans Grantha,,
Grek,200,Greek,grec,Greek,1.1,2004-05-01,y,,,,Gentium Plus,,Gentium Plus,,,,Noto Sans ,Noto Serif ,
Gujr,320,Gujarati,goudjarâtî (gujrâtî),Gujarati,1.1,2004-05-01,y,,,,Noto Sans Gujarati,,,,,,Noto Sans Gujarati,Noto Serif Gujarati,
